Equipment_name,Equipment_type,Make,Model,Owner,Phone,Email,Location,Availability,Delivery,Quantity
Sander,Power Tool,Festool,ETS EC 125/3 EQ,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',2
Sander,Power Tool,Porter-Cable,382,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',6
Power Screwdriver,Power Tool,Makita,XDT16Z,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',5
Power Screwdriver,Power Tool,DeWalt,DCF887B,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',3
Power Screwdriver,Power Tool,Bosch,GSR12V-300FCB22,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',4
Power Screwdriver,Power Tool,Milwaukee,2850-20,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',2
Power Screwdriver,Power Tool,Black & Decker,BDCSFL20C,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',7
Angle Grinder,Power Tool,Makita,XAG04Z,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',3
Angle Grinder,Power Tool,DeWalt,DWE402,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',5
Angle Grinder,Power Tool,Bosch,GWS13-50VSP,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',2
Angle Grinder,Power Tool,Milwaukee,2780-20,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',6
Angle Grinder,Power Tool,Metabo,WP9-115,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',4
Impact Wrench,Power Tool,Makita,XWT08Z,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',8
Impact Wrench,Power Tool,DeWalt,DCF899B,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',6
Impact Wrench,Power Tool,Bosch,IXO V Max,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',3
Impact Wrench,Power Tool,Milwaukee,2767-20,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',5
Impact Wrench,Power Tool,Ingersoll Rand,W7150-K2,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',2
Nail Gun,Power Tool,Makita,XNB01Z,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',7
Nail Gun,Power Tool,DeWalt,DCN692B,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',3
Nail Gun,Power Tool,Hitachi,NR90AES1,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',4
Nail Gun,Power Tool,Bostitch,N62FNK-2,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',6
Nail Gun,Power Tool,Paslode,902600,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',5
Hammer,Hand Tool,Estwing,E3-16C,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',5
Hammer,Hand Tool,Stanley,51-624,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',3
Hammer,Hand Tool,Vaughan,CF2HC,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',4
Hammer,Hand Tool,Stiletto,TI14SC-F,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',6
Hammer,Hand Tool,Craftsman,948962,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',2
Screwdriver,Hand Tool,Wiha,32092,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',6
Screwdriver,Hand Tool,Wera,5138216001,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',5
Screwdriver,Hand Tool,Klein Tools,603-4,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',3
Screwdriver,Hand Tool,Stanley,66-052,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',7
Screwdriver,Hand Tool,Craftsman,47477,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',4
Wrench,Hand Tool,Snap-on,SOEXRM710,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',6
Wrench,Hand Tool,Craftsman,44262,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',5
Wrench,Hand Tool,GearWrench,84912N,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',3
Wrench,Hand Tool,Channellock,8WCB,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',4
Wrench,Hand Tool,Crescent,AC24VS,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',2
Pliers,Hand Tool,Knipex,8701250,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',6
Pliers,Hand Tool,Klein Tools,D213-9NE,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',4
Pliers,Hand Tool,Channellock,440,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',7
Pliers,Hand Tool,Irwin Tools,2078309,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',3
Pliers,Hand Tool,Craftsman,45471,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',5
Measuring Tool,Hand Tool,Stanley,33-425,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',5
Measuring Tool,Hand Tool,Lufkin,L625SCTMP,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',2
Measuring Tool,Hand Tool,Milwaukee,48-22-6625,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',6
Measuring Tool,Hand Tool,Johnson Level & Tool,406EM-S,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',4
Measuring Tool,Hand Tool,Bosch,GLM 20,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','False',3
Cutting Tool,Hand Tool,Stanley,10-099,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',4
Cutting Tool,Hand Tool,Irwin Tools,2014100,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',6
Cutting Tool,Hand Tool,Lenox,12132HT50,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',2
Cutting Tool,Hand Tool,Bahco,2444,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',5
Cutting Tool,Hand Tool,Fiskars,375591-1001,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',7
Lawnmower,Garden Lawnmower,Honda,HRX217VKA,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',5
Lawnmower,Garden Lawnmower,Toro,20339,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',3
Lawnmower,Garden Lawnmower,Husqvarna,LC121P,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',4
Lawnmower,Garden Lawnmower,Craftsman,11A-U2V2791,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','True',6
Lawnmower,Garden Lawnmower,EGO,LM2102SP,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','True',2
Trimmer,Garden Trimmer,Black & Decker,LST300,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',5
Trimmer,Garden Trimmer,STIHL,FS 40 C-E,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','True',3
Trimmer,Garden Trimmer,Echo,SRM-225,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',4
Trimmer,Garden Trimmer,Greenworks,21302,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',6
Trimmer,Garden Trimmer,Worx,WG163,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',2
Shovel,Garden Shovel,Fiskars,96685935J,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',6
Shovel,Garden Shovel,Bully Tools,92712,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',4
Shovel,Garden Shovel,Ames,2535600,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',5
Shovel,Garden Shovel,'True' Temper,1564500,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','True',3
Shovel,Garden Shovel,Spear & Jackson,4454BS,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','True',7
Rake,Garden Rake,Ames,2915712,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',6
Rake,Garden Rake,Bully Tools,92309,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',4
Rake,Garden Rake,Corona,RA-20,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',5
Rake,Garden Rake,'True' Temper,2914000,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',3
Rake,Garden Rake,Gardenite,GGT3,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',7
Hedge Trimmer,Garden Hedge Trimmer,Black & Decker,LHT2436,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',4
Hedge Trimmer,Garden Hedge Trimmer,STIHL,HS 45,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',6
Hedge Trimmer,Garden Hedge Trimmer,Greenworks,22122,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',3
Hedge Trimmer,Garden Hedge Trimmer,Husqvarna,122HD60,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','True',5
Hedge Trimmer,Garden Hedge Trimmer,Worx,WG261,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','True',2
Pruning Tool,Garden Pruning Tool,Felco,F-2,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',5
Pruning Tool,Garden Pruning Tool,Fiskars,91095935J,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',3
Pruning Tool,Garden Pruning Tool,Corona,RS 7265D,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',4
Pruning Tool,Garden Pruning Tool,ARS,VS-8R,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',6
Pruning Tool,Garden Pruning Tool,Bahco,PG-72,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',2
Garden Hose,Garden Garden Hose,Craftsman,CM-IFMD-2,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',7
Garden Hose,Garden Garden Hose,Flexzilla,HFZG525YW,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',5
Garden Hose,Garden Garden Hose,Gilmour,874501-1001,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',4
Garden Hose,Garden Garden Hose,Dramm,10-17003,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',6
Garden Hose,Garden Garden Hose,Water Right,WR12420,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',3
Sprinkler,Garden Sprinkler,Rain Bird,25PJDAC,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','False',6
Sprinkler,Garden Sprinkler,Orbit,56667N,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',4
Sprinkler,Garden Sprinkler,Melnor,XT4200-IN,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',5
Sprinkler,Garden Sprinkler,Hunter,PGP-ADJ,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'False','False',3
Sprinkler,Garden Sprinkler,Gilmour,805013-1001,Henry Cavill,206-555-3456,hcavill34@hotmail.com,"Seattle, Washington",'True','True',7
Planer,Power Tool,DeWalt,DW735X,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',5
Planer,Power Tool,Makita,2012NB,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',3
Planer,Power Tool,Bosch,PL2632K,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',4
Planer,Power Tool,Jet,JWP-15HH,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','False',6
Planer,Power Tool,Porter-Cable,PC305TP,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','False',2
Router,Power Tool,DeWalt,DWP611,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',5
Router,Power Tool,Bosch,1617EVSPK,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','False',3
Router,Power Tool,Makita,RT0701CX7,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',4
Router,Power Tool,Festool,OF 1400 EQ,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',6
Router,Power Tool,Porter-Cable,892,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',2
Chisel,Hand Tool,Narex,863010,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',5
Chisel,Hand Tool,Stanley,16-791,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',3
Chisel,Hand Tool,Two Cherries,500-1561,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',4
Chisel,Hand Tool,Ashley Iles,RD4PCE,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',6
Chisel,Hand Tool,Sorby,SET-6ST,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',2
Woodworking Bench,Workbench,Sjöbergs,33280,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',5
Woodworking Bench,Workbench,Festool,MFT/3-Kapex,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','False',3
Woodworking Bench,Workbench,Kreg,KWS1000,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',4
Woodworking Bench,Workbench,Rockler,56204,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',6
Woodworking Bench,Workbench,Grizzly Industrial,G9915,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',2
Table Saw,Power Tool,SawStop,PCS31230-TGP252,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',5
Table Saw,Power Tool,DeWalt,DWE7491RS,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',3
Table Saw,Power Tool,Bosch,4100-09,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',4
Table Saw,Power Tool,Powermatic,PM1000,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',6
Table Saw,Power Tool,Jet,725005K,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','False',2
Miter Saw,Power Tool,DeWalt,DWS780,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',5
Miter Saw,Power Tool,Makita,LS1019L,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',3
Miter Saw,Power Tool,Bosch,GCM12SD,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',4
Miter Saw,Power Tool,Festool,KS 120 REB,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',6
Miter Saw,Power Tool,Hitachi,C10FCGS,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',2
Band Saw,Power Tool,Laguna Tools,MBAND1412-175,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',5
Band Saw,Power Tool,Jet,JWBS-14SFX,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',3
Band Saw,Power Tool,Grizzly Industrial,G0555LX,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',4
Band Saw,Power Tool,Rikon,10-326,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',6
Band Saw,Power Tool,Powermatic,PWBS-14CS,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',2
Woodturning Lathe,Power Tool,Jet,JWL-1440VSK,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',5
Woodturning Lathe,Power Tool,Laguna Tools,REVO 18|36,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','True',3
Woodturning Lathe,Power Tool,Nova,1624-44,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','False',4
Woodturning Lathe,Power Tool,Powermatic,3520C,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'False','False',6
